downloadAttach -- [13/Jun/2022:14:53] "Script has been initiated"
downloadAttach -- [13/Jun/2022:14:55] "Script has been initiated"
downloadAttach -- [13/Jun/2022:14:55] "0 email(s) were found and 0 attachment(s) were downloaded"
downloadAttach -- [13/Jun/2022:14:57] "Script has been initiated"
downloadAttach -- [13/Jun/2022:14:57] "4 Verify Screening processes 2022-06-12.xlsx was downloaded from Christian Hansen <chr.maints@gmail.com>"
downloadAttach -- [13/Jun/2022:14:57] "1 Verify Screening processes 2022-06-13.xlsx was downloaded from Christian Hansen <chr.maints@gmail.com>"
downloadAttach -- [13/Jun/2022:14:57] "2 email(s) were found and 2 attachment(s) were downloaded"
downloadAttach -- [13/Jun/2022:15:00] "Script has been initiated"
downloadAttach -- [13/Jun/2022:15:01] "Script has been initiated"
downloadAttach -- [13/Jun/2022:15:01] "1 Verify Screening processes 2022-06-13.xlsx was downloaded from Christian Hansen <chr.maints@gmail.com>"
downloadAttach -- [13/Jun/2022:15:01] "4 Verify Screening processes 2022-06-12.xlsx was downloaded from Christian Hansen <chr.maints@gmail.com>"
downloadAttach -- [13/Jun/2022:15:01] "Script has been initiated"
downloadAttach -- [13/Jun/2022:15:01] "1 Verify Screening processes 2022-06-13.xlsx was downloaded from Christian Hansen <chr.maints@gmail.com>"
downloadAttach -- [13/Jun/2022:15:01] "4 Verify Screening processes 2022-06-12.xlsx was downloaded from Christian Hansen <chr.maints@gmail.com>"
downloadAttach -- [13/Jun/2022:15:01] "2 email(s) were found and 2 attachment(s) were downloaded"
downloadAttach -- [13/Jun/2022:15:01] "Script has been initiated"
downloadAttach -- [13/Jun/2022:15:01] "1 Verify Screening processes 2022-06-13.xlsx was downloaded from Christian Hansen <chr.maints@gmail.com>"
downloadAttach -- [13/Jun/2022:15:01] "4 Verify Screening processes 2022-06-12.xlsx was downloaded from Christian Hansen <chr.maints@gmail.com>"
downloadAttach -- [13/Jun/2022:15:01] "2 email(s) were found and 2 attachment(s) were downloaded"
downloadAttach -- [13/Jun/2022:15:02] "Script has been initiated"
downloadAttach -- [13/Jun/2022:15:02] "1 Verify Screening processes 2022-06-13.xlsx was downloaded from Christian Hansen <chr.maints@gmail.com>"
downloadAttach -- [13/Jun/2022:15:02] "4 Verify Screening processes 2022-06-12.xlsx was downloaded from Christian Hansen <chr.maints@gmail.com>"
downloadAttach -- [13/Jun/2022:15:02] "2 email(s) were found and 2 attachment(s) were downloaded"
downloadAttach -- [13/Jun/2022:15:05] "Script has been initiated"
downloadAttach -- [13/Jun/2022:15:05] "1 Verify Screening processes 2022-06-13.xlsx was downloaded from Christian Hansen <chr.maints@gmail.com>"
downloadAttach -- [13/Jun/2022:15:05] "4 Verify Screening processes 2022-06-12.xlsx was downloaded from Christian Hansen <chr.maints@gmail.com>"
downloadAttach -- [13/Jun/2022:15:05] "2 email(s) were found and 2 attachment(s) were downloaded"
